taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
k__Bacteria;__;__;__;__;__,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,47,TRUE,TRUE,TRUE,TRUE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,43,TRUE,TRUE,TRUE,TRUE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,4,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,16,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__,4,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,31,FALSE,FALSE,FALSE,TRUE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,4,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],42,FALSE,TRUE,TRUE,TRUE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__,8,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,4,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,28,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,8,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,18,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,26,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,2,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,39,FALSE,TRUE,TRUE,TRUE
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,0,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,3,FALSE,FALSE,FALSE,FALSE
