taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
k__Bacteria;__;__;__;__;__,7,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,7,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,9,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,47,TRUE,TRUE,TRUE,TRUE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,41,FALSE,TRUE,TRUE,TRUE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,1,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,7,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,3,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter,7,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,17,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,5,FALSE,FALSE,FALSE,FALSE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__,37,FALSE,FALSE,TRUE,TRUE
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,3,FALSE,FALSE,FALSE,FALSE
